,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
0,5.40,731,https://www.beeradvocate.com/beer/profile/252/731/,Weihenstephaner Hefeweissbier,252,Bayerische Staatsbrauerei Weihenstephan,"8,552",4.41
1,5.00,1946,https://www.beeradvocate.com/beer/profile/142/1946/,Franziskaner Hefe-Weisse,142,Spaten-Franziskaner-Bräu,"4,597",4.05
2,4.80,48434,https://www.beeradvocate.com/beer/profile/140/48434/,Kellerweis,140,Sierra Nevada Brewing Co.,"4,105",4.05
3,5.50,1256,https://www.beeradvocate.com/beer/profile/124/1256/,Paulaner Hefe-Weissbier Naturtrüb,124,Paulaner Brauerei GmbH & Co. KG,"3,505",4.05
4,5.10,132,https://www.beeradvocate.com/beer/profile/39/132/,Ayinger Bräu Weisse,39,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,"2,260",4.17
5,4.90,17,https://www.beeradvocate.com/beer/profile/8/17/,Widmer Hefeweizen,8,Widmer Brothers Brewing Company,"2,134",3.32
6,5.60,2434,https://www.beeradvocate.com/beer/profile/703/2434/,Erdinger Weissbier,703,Erdinger Weissbräu,"2,007",3.54
7,4.80,18305,https://www.beeradvocate.com/beer/profile/694/18305/,DreamWeaver Wheat,694,Tröegs Brewing Company,"1,975",3.72
8,5.40,3280,https://www.beeradvocate.com/beer/profile/72/3280/,Schneider Weisse Tap 7 Unser Original,72,Weisses Bräuhaus G. Schneider & Sohn GmbH,"1,796",3.98
9,5.50,772,https://www.beeradvocate.com/beer/profile/76/772/,Hacker-Pschorr Hefe Weisse Naturtrüb,76,Hacker-Pschorr Bräu GmbH,"1,768",4.09
10,5.20,1062,https://www.beeradvocate.com/beer/profile/383/1062/,HefeWeizen,383,Live Oak Brewing Company,"1,682",4.35
11,4.70,2249,https://www.beeradvocate.com/beer/profile/68/2249/,Hefeweizen,68,Flying Dog Brewery,"1,613",3.51
12,7.20,37586,https://www.beeradvocate.com/beer/profile/590/37586/,Dancing Man Wheat,590,New Glarus Brewing Company,"1,396",4.21
13,5.10,3836,https://www.beeradvocate.com/beer/profile/4686/3836/,Hofbräu Münchner Weisse,4686,Hofbräuhaus München,"1,177",3.9
14,5.40,1552,https://www.beeradvocate.com/beer/profile/143/1552/,Shiner Hefeweizen,143,Spoetzl Brewery / Shiner,"1,077",3.29
15,6.20,759,https://www.beeradvocate.com/beer/profile/72/759/,Schneider Weisse Tap 4 Wiesen Edel-Weisse,72,Weisses Bräuhaus G. Schneider & Sohn GmbH,"1,071",4.08
16,5.50,4847,https://www.beeradvocate.com/beer/profile/3900/4847/,König Ludwig Weiss (Royal Bavarian Hefe-Weizen),3900,Kaltenberg International / König Ludwig International GmbH & Co.KG,914,3.86
17,5.20,1237,https://www.beeradvocate.com/beer/profile/403/1237/,Pyramid Hefeweizen,403,"Pyramid Breweries, Inc.",906,3.12
18,2.50,41091,https://www.beeradvocate.com/beer/profile/290/41091/,Schöfferhofer Grapefruit Weizen-Mix,290,Binding-Brauerei AG,804,3.52
19,6.70,101585,https://www.beeradvocate.com/beer/profile/345/101585/,Winter Cheers,345,Victory Brewing Company - Downingtown,770,3.6
20,5.40,15216,https://www.beeradvocate.com/beer/profile/35/15216/,Samuel Adams Hefeweizen,35,Boston Beer Company (Samuel Adams),746,3.21
21,4.90,13804,https://www.beeradvocate.com/beer/profile/689/13804/,Ebel's Weiss Beer,689,Two Brothers Brewing Company,694,3.69
22,4.60,117171,https://www.beeradvocate.com/beer/profile/182/117171/,Yuengling Summer Wheat,182,Yuengling Brewery,666,3.59
23,5.30,613,https://www.beeradvocate.com/beer/profile/176/613/,Julius Echter Hefe-Weissbier Hell,176,Würzburger Hofbräu AG,661,4.01
24,5.70,11485,https://www.beeradvocate.com/beer/profile/703/11485/,Erdinger Oktoberfest Weissbier,703,Erdinger Weissbräu,636,3.64
25,5.20,62128,https://www.beeradvocate.com/beer/profile/31805/62128/,Floridian Hefeweizen,31805,Funky Buddha Brewery,617,3.76
26,5.35,371,https://www.beeradvocate.com/beer/profile/129/371/,Tucher Helles Hefe Weizen,129,Brauerei Tucher Brau,587,3.9
