,id,link,style
0,128,https://www.beeradvocate.com/beer/style/128/,American Amber / Red Ale
1,19,https://www.beeradvocate.com/beer/style/19/,American Barleywine
2,175,https://www.beeradvocate.com/beer/style/175/,American Black Ale
3,99,https://www.beeradvocate.com/beer/style/99/,American Blonde Ale
4,73,https://www.beeradvocate.com/beer/style/73/,American Brown Ale
5,94,https://www.beeradvocate.com/beer/style/94/,American Dark Wheat Ale
6,140,https://www.beeradvocate.com/beer/style/140/,American Double / Imperial IPA
7,157,https://www.beeradvocate.com/beer/style/157/,American Double / Imperial Stout
8,116,https://www.beeradvocate.com/beer/style/116/,American IPA
9,97,https://www.beeradvocate.com/beer/style/97/,American Pale Ale (APA)
10,93,https://www.beeradvocate.com/beer/style/93/,American Pale Wheat Ale
11,159,https://www.beeradvocate.com/beer/style/159/,American Porter
12,158,https://www.beeradvocate.com/beer/style/158/,American Stout
13,78,https://www.beeradvocate.com/beer/style/78/,American Strong Ale
14,171,https://www.beeradvocate.com/beer/style/171/,American Wild Ale
15,130,https://www.beeradvocate.com/beer/style/130/,Black & Tan
16,163,https://www.beeradvocate.com/beer/style/163/,Chile Beer
17,6,https://www.beeradvocate.com/beer/style/6/,Cream Ale
18,72,https://www.beeradvocate.com/beer/style/72/,Pumpkin Ale
19,12,https://www.beeradvocate.com/beer/style/12/,Rye Beer
20,60,https://www.beeradvocate.com/beer/style/60/,Wheatwine
21,119,https://www.beeradvocate.com/beer/style/119/,Belgian Dark Ale
22,174,https://www.beeradvocate.com/beer/style/174/,Belgian IPA
23,54,https://www.beeradvocate.com/beer/style/54/,Belgian Pale Ale
24,56,https://www.beeradvocate.com/beer/style/56/,Belgian Strong Dark Ale
25,55,https://www.beeradvocate.com/beer/style/55/,Belgian Strong Pale Ale
26,141,https://www.beeradvocate.com/beer/style/141/,Bière de Champagne / Bière Brut
27,127,https://www.beeradvocate.com/beer/style/127/,Bière de Garde
28,57,https://www.beeradvocate.com/beer/style/57/,Dubbel
29,15,https://www.beeradvocate.com/beer/style/15/,Faro
30,52,https://www.beeradvocate.com/beer/style/52/,Flanders Oud Bruin
31,53,https://www.beeradvocate.com/beer/style/53/,Flanders Red Ale
32,14,https://www.beeradvocate.com/beer/style/14/,Gueuze
33,10,https://www.beeradvocate.com/beer/style/10/,Lambic - Fruit
34,50,https://www.beeradvocate.com/beer/style/50/,Lambic - Unblended
35,142,https://www.beeradvocate.com/beer/style/142/,Quadrupel (Quad)
36,129,https://www.beeradvocate.com/beer/style/129/,Saison / Farmhouse Ale
37,58,https://www.beeradvocate.com/beer/style/58/,Tripel
38,48,https://www.beeradvocate.com/beer/style/48/,Witbier
39,80,https://www.beeradvocate.com/beer/style/80/,Baltic Porter
40,114,https://www.beeradvocate.com/beer/style/114/,Braggot
41,152,https://www.beeradvocate.com/beer/style/152/,English Barleywine
42,98,https://www.beeradvocate.com/beer/style/98/,English Bitter
43,74,https://www.beeradvocate.com/beer/style/74/,English Brown Ale
44,75,https://www.beeradvocate.com/beer/style/75/,English Dark Mild Ale
45,150,https://www.beeradvocate.com/beer/style/150/,English India Pale Ale (IPA)
46,154,https://www.beeradvocate.com/beer/style/154/,English Pale Ale
47,76,https://www.beeradvocate.com/beer/style/76/,English Pale Mild Ale
48,101,https://www.beeradvocate.com/beer/style/101/,English Porter
49,13,https://www.beeradvocate.com/beer/style/13/,English Stout
50,165,https://www.beeradvocate.com/beer/style/165/,English Strong Ale
51,66,https://www.beeradvocate.com/beer/style/66/,Extra Special / Strong Bitter (ESB)
52,95,https://www.beeradvocate.com/beer/style/95/,Foreign / Export Stout
53,82,https://www.beeradvocate.com/beer/style/82/,Milk / Sweet Stout
54,69,https://www.beeradvocate.com/beer/style/69/,Oatmeal Stout
55,79,https://www.beeradvocate.com/beer/style/79/,Old Ale
56,84,https://www.beeradvocate.com/beer/style/84/,Russian Imperial Stout
57,47,https://www.beeradvocate.com/beer/style/47/,Winter Warmer
58,148,https://www.beeradvocate.com/beer/style/148/,Sahti
59,86,https://www.beeradvocate.com/beer/style/86/,Altbier
60,87,https://www.beeradvocate.com/beer/style/87/,Berliner Weissbier
61,91,https://www.beeradvocate.com/beer/style/91/,Dunkelweizen
62,16,https://www.beeradvocate.com/beer/style/16/,Gose
63,89,https://www.beeradvocate.com/beer/style/89/,Hefeweizen
64,85,https://www.beeradvocate.com/beer/style/85/,Kölsch
65,90,https://www.beeradvocate.com/beer/style/90/,Kristalweizen
66,18,https://www.beeradvocate.com/beer/style/18/,Roggenbier
67,92,https://www.beeradvocate.com/beer/style/92/,Weizenbock
68,162,https://www.beeradvocate.com/beer/style/162/,Irish Dry Stout
69,161,https://www.beeradvocate.com/beer/style/161/,Irish Red Ale
70,173,https://www.beeradvocate.com/beer/style/173/,Kvass
71,77,https://www.beeradvocate.com/beer/style/77/,Scotch Ale / Wee Heavy
72,68,https://www.beeradvocate.com/beer/style/68/,Scottish Ale
73,70,https://www.beeradvocate.com/beer/style/70/,Scottish Gruit / Ancient Herbed Ale
74,38,https://www.beeradvocate.com/beer/style/38/,American Adjunct Lager
75,147,https://www.beeradvocate.com/beer/style/147/,American Amber / Red Lager
76,164,https://www.beeradvocate.com/beer/style/164/,American Double / Imperial Pilsner
77,42,https://www.beeradvocate.com/beer/style/42/,American Malt Liquor
78,155,https://www.beeradvocate.com/beer/style/155/,American Pale Lager
79,132,https://www.beeradvocate.com/beer/style/132/,California Common / Steam Beer
80,39,https://www.beeradvocate.com/beer/style/39/,Light Lager
81,5,https://www.beeradvocate.com/beer/style/5/,Low Alcohol Beer
82,40,https://www.beeradvocate.com/beer/style/40/,Czech Pilsener
83,149,https://www.beeradvocate.com/beer/style/149/,Euro Dark Lager
84,37,https://www.beeradvocate.com/beer/style/37/,Euro Pale Lager
85,43,https://www.beeradvocate.com/beer/style/43/,Euro Strong Lager
86,32,https://www.beeradvocate.com/beer/style/32/,Bock
87,35,https://www.beeradvocate.com/beer/style/35/,Doppelbock
88,20,https://www.beeradvocate.com/beer/style/20/,Dortmunder / Export Lager
89,36,https://www.beeradvocate.com/beer/style/36/,Eisbock
90,41,https://www.beeradvocate.com/beer/style/41/,German Pilsener
91,131,https://www.beeradvocate.com/beer/style/131/,Kellerbier / Zwickelbier
92,33,https://www.beeradvocate.com/beer/style/33/,Maibock / Helles Bock
93,29,https://www.beeradvocate.com/beer/style/29/,Märzen / Oktoberfest
94,46,https://www.beeradvocate.com/beer/style/46/,Munich Dunkel Lager
95,21,https://www.beeradvocate.com/beer/style/21/,Munich Helles Lager
96,7,https://www.beeradvocate.com/beer/style/7/,Rauchbier
97,31,https://www.beeradvocate.com/beer/style/31/,Schwarzbier
98,30,https://www.beeradvocate.com/beer/style/30/,Vienna Lager
99,168,https://www.beeradvocate.com/beer/style/168/,Happoshu
100,169,https://www.beeradvocate.com/beer/style/169/,Japanese Rice Lager
101,9,https://www.beeradvocate.com/beer/style/9/,Fruit / Vegetable Beer
102,8,https://www.beeradvocate.com/beer/style/8/,Herbed / Spiced Beer
103,11,https://www.beeradvocate.com/beer/style/11/,Smoked Beer
