,ba_score,feel,look,overall,rDev,smell,taste,user_id
0,3.29,3.25,3.75,3,-13.2%,3.5,3.25,1230265
1,4.01,4.25,3.75,4,+5.8%,4,4,1227217
2,3.67,3.5,3.75,3.75,-3.2%,3.5,3.75,732424
3,3.4,3.5,3.5,3.5,-10.3%,3.5,3.25,1217415
4,4,4,4,4,+5.5%,4,4,767842
5,3.18,3.25,3.75,3.25,-16.1%,3.25,3,775724
6,3.99,4,3.75,4,+5.3%,4,4,1207238
7,5,5,5,5,+31.9%,5,5,1185025
8,3.74,3.5,4,3.75,-1.3%,3.75,3.75,1155237
9,3.64,3.25,3.75,3.75,-4%,3.5,3.75,694788
10,4.33,4,4.25,4.25,+14.2%,4.25,4.5,740723
11,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,281621
12,3.35,3.5,3.5,3.25,-11.6%,3.5,3.25,798054
13,3.67,3.75,4,3.75,-3.2%,3.75,3.5,1166423
14,4.21,4,4,4.25,+11.1%,4.25,4.25,1026581
15,3.6,3.75,4,3.5,-5%,3.25,3.75,1192531
16,3.05,2,3.75,3,-19.5%,3,3.25,723499
17,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,985157
18,3.83,3.75,4,3.75,+1.1%,4,3.75,1167306
19,3.74,4,3.5,3.75,-1.3%,3.25,4,1116849
20,3.6,3.5,3.5,3.5,-5%,3.5,3.75,926262
21,4.46,4.25,4.25,4.5,+17.7%,4.5,4.5,964747
22,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,696061
23,3.88,4,4,4,+2.4%,3.5,4,456300
24,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,693655
25,3.96,4,4.25,4,+4.5%,3.75,4,723269
26,4.25,4.25,4.25,4.25,+12.1%,4.25,4.25,950386
27,3.88,3.75,4.25,3.75,+2.4%,3.75,4,786774
28,4.38,3.5,4.5,4,+15.6%,4,5,1183478
29,4,4,4,4,+5.5%,4,4,1165236
30,4.12,4,4,4,+8.7%,4.5,4,718798
31,4,4,4,4,+5.5%,4,4,991004
32,3.94,4.5,3.75,4,+4%,4,3.75,898176
33,4.03,4,3.75,4,+6.3%,3.75,4.25,1065114
34,4.27,4.25,4.5,4.25,+12.7%,4.25,4.25,774405
35,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,886322
36,4,4,4,4,+5.5%,4,4,758496
37,4.59,5,4.5,4.5,+21.1%,4.25,4.75,1172927
38,3.33,4,5,3.25,-12.1%,3.25,3,799578
39,4.02,4,4.25,4,+6.1%,4,4,922932
40,3.4,3,3.5,3.75,-10.3%,3.5,3.25,1162554
41,3.74,4,3.5,3.75,-1.3%,3.25,4,773994
42,4.04,3.75,5,4,+6.6%,4,4,1073968
43,3.25,3.25,3.25,3.25,-14.2%,3.25,3.25,777927
44,4.37,4,4.5,4.5,+15.3%,3.75,4.75,1056221
45,3.74,3.5,4,3.75,-1.3%,3.75,3.75,725975
46,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,678038
47,3.43,3.5,3.25,3.5,-9.5%,3.25,3.5,1031776
48,3.83,3.5,3.75,3.75,+1.1%,3.75,4,776533
49,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,656306
50,4,4,4,4,+5.5%,4,4,761225
51,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,657368
52,3.6,3.5,3.5,3.5,-5%,3.5,3.75,1015020
53,4.17,4,4.25,4.25,+10%,4,4.25,1101909
54,3.67,3.5,3.75,3.75,-3.2%,3.5,3.75,889528
55,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,1107926
56,4.01,4.25,3.75,4,+5.8%,4,4,870417
57,3.41,3.5,4,3.5,-10%,3,3.5,1073239
58,3.98,3.75,4,4,+5%,4,4,1122119
59,3.15,3.25,3.25,3.25,-16.9%,3.25,3,610738
60,3,3,3,3,-20.8%,3,3,516595
61,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,832752
62,4.66,4.5,4.5,4.5,+23%,4.75,4.75,1091449
63,4.04,3.75,4,4,+6.6%,4.25,4,855500
64,4.79,4.5,4.75,4.75,+26.4%,5,4.75,1125580
65,3.93,4,3.75,4,+3.7%,3.75,4,1108675
66,3.67,3.5,3.75,3.75,-3.2%,3.5,3.75,876987
67,4.25,4.25,4.25,4.25,+12.1%,4.25,4.25,738197
68,3.79,3.5,4,4,0%,3.75,3.75,875330
69,4,4,4,4,+5.5%,4,4,1133145
70,3.77,3.75,4,3.75,-0.5%,3.75,3.75,776819
71,3.47,3.5,4,3.5,-8.4%,3.25,3.5,1007133
72,3.86,4.5,3.75,4,+1.8%,3.25,4,1024981
73,4.36,4.75,4.5,4.25,+15%,4,4.5,825355
74,4.01,4,4,4.25,+5.8%,3,4.5,1129994
75,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,725147
76,3.77,3.5,3.5,3.75,-0.5%,4,3.75,874957
77,3.25,3.25,3.25,3.25,-14.2%,3.25,3.25,579744
78,4.3,4,4.5,4.25,+13.5%,4.5,4.25,328822
79,3.79,4,3.75,3.5,0%,4,3.75,1126583
80,3.74,4.25,3.75,3.75,-1.3%,3.5,3.75,1059483
81,3.9,4,4,4,+2.9%,4,3.75,728964
82,3.75,4,4.25,3.75,-1.1%,3.5,3.75,532838
83,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,749286
84,3.94,4,3.75,3.75,+4%,4,4,874460
85,3.9,4,4,4,+2.9%,4,3.75,809875
86,3.69,3.75,3.75,3.75,-2.6%,3.5,3.75,34475
87,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,1046012
88,3.45,3.5,4.25,3.5,-9%,3.5,3.25,1101410
89,3.77,3.75,4,3.75,-0.5%,3.75,3.75,694554
90,3.73,4,4,3.75,-1.6%,3.5,3.75,734615
91,3.87,4.25,4,4,+2.1%,3.75,3.75,833814
92,3.83,3.75,5,3.75,+1.1%,3.75,3.75,905003
93,3.99,4,3.75,4,+5.3%,4,4,923086
94,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,558963
95,3.73,4,4,3.75,-1.6%,3.5,3.75,114728
96,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,532491
97,4.21,4.25,4.25,4.25,+11.1%,4.5,4,281266
98,3.94,3.75,4,4,+4%,4.25,3.75,1091059
99,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,673072
100,3.85,3.75,3.75,3.75,+1.6%,3.75,4,804682
101,3.98,4,3.75,3.75,+5%,3.75,4.25,582312
102,3.38,3.25,4,3.25,-10.8%,4,3,997313
103,3.86,4,3.5,3.75,+1.8%,3.75,4,735163
104,4.02,3.75,3.75,4,+6.1%,4.25,4,783795
105,4,4,4,4,+5.5%,4,4,906969
106,2.85,3,3,2.75,-24.8%,3,2.75,947993
107,3.83,4,4,3.75,+1.1%,3.5,4,20903
108,4,4,4,4,+5.5%,4,4,1033473
109,3.49,3.5,3.25,3.5,-7.9%,3.5,3.5,1081399
110,3.9,4,4,4,+2.9%,4,3.75,693232
111,3.87,3.75,4,3.75,+2.1%,3.75,4,702775
112,3.84,3.75,3.5,3.75,+1.3%,3.75,4,680220
113,3.97,4.25,4,4,+4.7%,3.75,4,653239
114,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,748134
115,3.72,4,3.75,3.75,-1.8%,3.5,3.75,1026572
116,3.46,3.25,3.25,3.5,-8.7%,3.5,3.5,1035884
117,4,4,4,4,+5.5%,4,4,737335
118,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,548067
119,4.19,4,4.25,4.25,+10.6%,4.5,4,702003
120,4.33,4.25,4.5,4.25,+14.2%,4.5,4.25,910634
121,3.85,4,4,3.75,+1.6%,4,3.75,906148
122,4,4,4,4,+5.5%,4,4,896722
123,3.92,3.75,4,4,+3.4%,3.75,4,702895
124,5,5,5,5,+31.9%,5,5,921996
125,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,962228
126,4.34,4.5,4.5,4.5,+14.5%,4.25,4.25,1068658
127,3.98,3.75,4,4,+5%,4,4,748677
128,3.74,3.5,3.75,3.5,-1.3%,4,3.75,1066820
129,3.53,3.75,3.5,3.5,-6.9%,3.5,3.5,946557
130,3.97,3.75,4,3.75,+4.7%,3.75,4.25,837323
131,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,445739
132,3.96,3.75,3.75,4,+4.5%,4,4,764778
133,3.99,4.25,4,4,+5.3%,4.25,3.75,980553
134,3.59,3.25,3.75,3.5,-5.3%,3.5,3.75,991398
135,4.03,4,4.5,4,+6.3%,4,4,776443
136,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,748650
137,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,355414
138,4,4,4,4,+5.5%,4,4,766443
139,4.18,4,4.5,4.25,+10.3%,4,4.25,733520
140,3,3,3,3,-20.8%,3,3,1045267
141,4,4,4,4,+5.5%,4,4,1038338
142,4,4,4,4,+5.5%,4,4,957938
143,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,788089
144,4.5,4,4.5,4.25,+18.7%,4.5,4.75,1029840
145,4.5,4.5,4,4.75,+18.7%,4,4.75,1028243
146,3.12,3.25,3.5,3,-17.7%,3.25,3,1025788
147,3.94,4,4,4,+4%,3.75,4,481246
148,4,4,4,4,+5.5%,4,4,352725
149,5,5,5,5,+31.9%,5,5,1018730
150,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,756945
151,4.25,4.25,4.25,4.25,+12.1%,4.25,4.25,545285
152,3.99,4,3.75,4,+5.3%,4,4,755599
153,4.19,4.25,4.25,4.25,+10.6%,4,4.25,562552
154,3.92,4,4.25,4,+3.4%,4,3.75,434646
155,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,875729
156,4,4,4,4,+5.5%,4,4,987231
157,3.93,4,3.75,4,+3.7%,3.75,4,842717
158,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,797803
159,4,4,4,4,+5.5%,4,4,982377
160,3.77,3.75,4,3.75,-0.5%,3.75,3.75,876765
161,4.02,4,4.25,4,+6.1%,4,4,976601
162,3.96,3.75,3.75,4,+4.5%,4,4,709789
163,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,972421
164,3.34,3.25,3,3.25,-11.9%,3.25,3.5,726285
165,3.73,3.5,3.75,3.75,-1.6%,3.75,3.75,872470
166,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,47795
167,3.85,3.75,3.75,3.75,+1.6%,3.75,4,773490
168,3.4,3.5,3.5,3.5,-10.3%,3.5,3.25,620253
169,3.33,3.25,3.5,3.25,-12.1%,3.5,3.25,760425
170,3.59,3.75,3.75,3.75,-5.3%,3.5,3.5,929424
171,3.74,3.75,3.5,3.75,-1.3%,3.75,3.75,934768
172,3.9,3.75,3.75,4,+2.9%,3.75,4,678389
173,4.16,4.25,3.75,4.25,+9.8%,4,4.25,943349
174,3.98,4,3,4,+5%,3.75,4.25,545121
175,3.85,4.25,4.5,3.75,+1.6%,3.75,3.75,20741
176,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,293425
177,3.87,3.75,4,3.75,+2.1%,3.75,4,826009
178,3.85,3.75,3.75,3.75,+1.6%,3.75,4,625746
179,3.69,3.75,3.75,3.75,-2.6%,3.5,3.75,785981
180,3.74,3.5,4,3.75,-1.3%,3.75,3.75,739612
181,3.9,4,4,4,+2.9%,4,3.75,662946
182,3.64,3.5,3.25,3.75,-4%,3.5,3.75,928279
183,3.86,3.5,4.25,3.75,+1.8%,3.75,4,853705
184,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,881480
185,3.04,3,3.5,3.25,-19.8%,3.25,2.75,747910
186,1,1,1,1,-73.6%,1,1,709176
187,3.84,3.75,3.75,4,+1.3%,3.5,4,32914
188,4.01,3.75,4.5,4,+5.8%,4,4,843324
189,3.79,4,4,3.75,0%,3.75,3.75,782561
190,4.02,4,4.5,4.25,+6.1%,3.75,4,683809
191,4.16,4,4,4,+9.8%,4.25,4.25,929172
192,3.75,3.75,3.75,3.75,-1.1%,3.75,3.75,765661
193,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,890607
194,4,4,4,4,+5.5%,4,4,936950
195,3.25,3.25,3.25,3.25,-14.2%,3.25,3.25,311156
196,4.24,4.25,4,4.25,+11.9%,4.25,4.25,802357
197,3.76,4,3.5,3.75,-0.8%,3.75,3.75,193217
198,3.89,3.75,4,3.75,+2.6%,4.25,3.75,673344
199,3.4,3,3.5,3.25,-10.3%,3.5,3.5,921915
200,3.81,4,4.25,3.75,+0.5%,3.75,3.75,813531
201,4.75,4.75,4.75,4.75,+25.3%,4.75,4.75,829254
202,3.5,3.5,3.5,3.5,-7.7%,3.5,3.5,791863
203,4.23,4.25,4,4.5,+11.6%,4,4.25,456192
204,3.73,3.5,3.75,3.75,-1.6%,3.75,3.75,366186
205,3.59,3.5,3.5,3.75,-5.3%,3.25,3.75,798405
206,3.79,3.25,3.5,3.75,0%,3.75,4,896444
207,3.54,3.75,3.75,3.5,-6.6%,3.5,3.5,865130
208,4.41,5,4.25,4.25,+16.4%,3.75,4.75,355029
209,3.88,4,3.75,3.75,+2.4%,3.75,4,817288
210,4.04,3.75,4,4,+6.6%,4.25,4,617011
211,3.73,3.5,3,3.5,-1.6%,3.75,4,657272
212,4.07,4.5,4.25,4,+7.4%,4,4,788574
213,3.84,4,4,4,+1.3%,3.75,3.75,478054
214,4.1,4,4,4,+8.2%,4,4.25,850272
215,3.56,3.75,4,3.5,-6.1%,3.5,3.5,701612
216,3.55,3.5,3.5,3.75,-6.3%,3.5,3.5,705660
