company_ids,company_names,ba_levels,ba_scores,location1s,location2s,total_ratings,total_reviews,n_selected_beers,region
1,Plzeňský Prazdroj,Good,3.69, Plzeň,Czech Republic,4338,1644,1,Czech Republic
3,Abita Brewing Co.,Good,3.66, Abita Springs,LA,21876,6476,7,USA - LA
4,Allagash Brewing Company,Exceptional,4.12, Portland,ME,36512,9743,8,USA - ME
8,Widmer Brothers Brewing Company,Good,3.61, Portland,OR,14128,4483,1,USA - OR
22,Unibroue,Good,3.74, Chambly,QC,36019,14546,8,USA - QC
24,Traquair House Brewery,Very Good,3.94, Peeblesshire,GB6,2052,1206,1,UK
26,3 Floyds Brewing Co.,Exceptional,4.05, Munster,IN,82249,18976,21,USA - IN
28,Anchor Brewing Company,Good,3.72, San Francisco,CA,23758,8743,7,USA - CA
29,Anheuser-Busch,Poor,2.66, Saint Louis,MO,57050,15511,18,USA - MO
30,Avery Brewing Company,Very Good,3.96, Boulder,CO,39271,12714,14,USA - CO
33,Berkshire Brewing Company Inc.,Good,3.72, South Deerfield,MA,6678,3206,1,USA - MA
35,Boston Beer Company (Samuel Adams),Good,3.62, Jamaica Plain,MA,133333,44267,39,USA - MA
37,Brasserie d'Orval S.A.,Exceptional,4.17, Villers-devant-Orval,Belgium,5534,2387,1,Belgium
42,Brewery Ommegang,Very Good,3.96, Cooperstown,NY,38149,12820,10,USA - NY
43,BridgePort Brewing Co. / Brewpub,Good,3.65, Portland,OR,4672,2025,2,USA - OR
45,Brooklyn Brewery,Very Good,3.83, Brooklyn,NY,38137,13959,14,USA - NY
48,Brouwerij Van Steenberge N.V.,Good,3.62, Ertvelde,Belgium,17663,7295,4,Belgium
41,Brouwerij Corsendonk,Very Good,3.85, Oud-Turnhout,Belgium,3708,1812,2,Belgium
47,Brouwerij Boon,Very Good,3.92, Lembeek,Belgium,4872,1817,1,Belgium
57,Cervecería Cuauhtémoc Moctezuma,Poor,2.74, S.A. de C.V.,Monterrey (Nuevo León),12727,3527,5,N/A
63,Deschutes Brewery,Very Good,3.83, Bend,OR,57000,15529,16,USA - OR
64,Dogfish Head Craft Brewery,Very Good,3.87, Milton,DE,142805,43152,35,USA - DE
68,Flying Dog Brewery,Good,3.69, Frederick,MD,29330,10573,9,USA - MD
71,Fuller Smith & Turner PLC,Very Good,3.76, Chiswick,London,13100,6086,5,UK
72,Weisses Bräuhaus G. Schneider & Sohn GmbH,Very Good,3.84, Kelheim,Germany,12631,5932,5,Germany
73,Great Lakes Brewing Co.,Very Good,3.89, Cleveland,OH,49563,15181,15,USA - OH
75,Grupo Modelo S.A. de C.V.,Poor,2.77, Mexico City,Mexico,16526,4331,5,Mexico
81,Heineken Nederland B.V.,Poor,2.83, Zoeterwoude,Netherlands,15418,4474,2,Netherlands
83,Brouwerij van Hoegaarden,Okay,3.24, Hoegaarden,Belgium,6276,2266,1,Belgium
94,Long Trail Brewing Co.,Very Good,3.77, Bridgewaters Corners,VT,13433,3771,4,USA - VT
96,Magic Hat Brewing Company,Good,3.52, South Burlington,VT,21266,6773,5,USA - VT
98,Harpoon Brewery & Beer Hall,Good,3.72, Boston,MA,21128,6703,8,USA - MA
99,Matt Brewing Company / Saranac Brewery,Good,3.53, Utica,NY,18897,9270,3,USA - NY
105,Miller Brewing Co.,Poor,2.85, Milwaukee,WI,23132,6372,7,USA - WI
112,North Coast Brewing Co.,Very Good,3.84, Fort Bragg,CA,33883,12538,10,USA - CA
113,Samuel Smith Old Brewery (Tadcaster),Very Good,3.76, Tadcaster,GB2,31027,12409,9,UK
118,Orkney Brewery,Good,3.63, Orkney,GB6,3448,1725,1,UK
119,Otter Creek Brewing,Very Good,3.95, Middlebury,VT,7500,1478,1,USA - VT
130,Boulder Beer / Wilderness Pub,Okay,3.09, Boulder,CO,13048,5240,3,USA - CO
132,Rogue Ales,Very Good,3.75, Newport,OR,57739,24067,18,USA - OR
139,Shipyard Brewing Company,Good,3.51, Portland,ME,15452,5504,4,USA - ME
140,Sierra Nevada Brewing Co.,Very Good,3.89, Chico,CA,119815,35035,25,USA - CA
141,Smuttynose Brewing Company,Very Good,3.85, Hampton,NH,28673,11297,8,USA - NH
143,Spoetzl Brewery / Shiner,Okay,3.38, Shiner,TX,18176,5142,6,USA - TX
147,Stone Brewing,Very Good,3.94, Escondido,CA,82483,19373,20,USA - CA
148,Belhaven Brewery Company Ltd.,Good,3.6, Dunbar,East Lothian,6112,2820,2,UK
149,Brasserie Lefèbvre SA,Okay,3.31, Rebecq-Quenast,Belgium,2811,1222,1,Belgium
158,Great Divide Brewing Company,Very Good,3.87, Denver,CO,49762,17537,15,USA - CO
160,Wychwood Brewery Company Ltd,Okay,3.41, Witney,Oxon,6077,2900,1,N/A
169,Stella Artois,Poor,2.86, Leuven,Belgium,5890,1675,1,Belgium
163,Amstel Brouwerij B. V.,Poor,2.65, Amsterdam,Netherlands,2323,692,1,Netherlands
173,Hair of the Dog Brewing Company / Brewery and Tasting Room,Very Good,3.99, Portland,OR,12171,4808,4,USA - OR
178,J.W. Lees & Co (Brewers) Ltd,Good,3.71, Manchester,GB2,3800,2120,1,UK
180,Brouwerij Huyghe,Okay,3.32, Melle,Belgium,13633,4604,3,Belgium
182,Yuengling Brewery,Okay,3.21, Pottsville,PA,14878,4058,4,USA - PA
184,Bierbrouwerij De Koningshoeven B.V.,Very Good,3.91, Berkel-Enschot,Netherlands,7169,3041,2,Netherlands
187,Brouwerij Lindemans,Very Good,3.91, Vlezenbeek,Belgium,10989,4586,5,Belgium
192,New Belgium Brewing,Very Good,3.78, Fort Collins,CO,70495,19377,19,USA - CO
193,Anderson Valley Brewing Company,Very Good,3.77, Boonville,CA,23619,7635,8,USA - CA
194,McAuslan Brewing,Good,3.62, Montréal,QC,3892,1829,1,USA - QC
196,Brouwerij De Smedt / Brouwerij Affligem,Okay,3.46, Opwijk,Belgium,3335,1637,1,Belgium
199,Ballast Point Brewing Company,Very Good,3.91, San Diego,CA,65442,14113,14,USA - CA
201,Brouwerij De Dolle Brouwers,Exceptional,4.17, Esen,Belgium,4832,2516,2,Belgium
203,Greene King / Morland Brewery,Okay,3.34, Suffolk,GB2,6205,3120,1,UK
202,Brouwerij Bosteels,Very Good,3.77, Buggenhout,Belgium,6680,2441,2,Belgium
205,Buffalo Bill's Brewery,Okay,3.28, Hayward,CA,2963,1464,1,USA - CA
207,Brasserie de Rochefort,Outstanding,4.33, Rochefort,Belgium,17339,5879,3,Belgium
208,Brouwerij Westmalle,Exceptional,4.16, Malle,Belgium,7528,3070,2,Belgium
209,Guinness Ltd.,Good,3.5, Dublin,Ireland,28746,8554,7,Ireland
212,Brouwerij Van Honsebrouck N.V.,Good,3.64, Emelgem,Belgium,7102,2720,2,Belgium
213,Narragansett Brewing Co.,Good,3.61, Pawtucket,RI,4483,1351,1,USA - RI
215,Bières de Chimay,Exceptional,4.05, Baileux (Chimay),Belgium,17861,5974,3,Belgium
216,Brouwerij Rodenbach N.V.,Exceptional,4.14, Roeselare,Belgium,8432,2346,3,Belgium
220,Lagunitas Brewing Company,Very Good,3.94, Petaluma,CA,104382,25692,25,USA - CA
221,Desnoes & Geddes Limited,Poor,2.95, Kingston,Jamaica,4047,1340,1,Jamaica
222,Brouwerij Duvel Moortgat NV,Very Good,3.77, Breendonk-Puurs,Belgium,12683,4807,3,Belgium
223,Brouwerij Bockor N.V. / Brouwerij Omer Vander Ghinste,Good,3.73, Bellegem-Kortrijk,Belgium,4314,930,1,Belgium
224,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,Poor,2.74, Bremen,Germany,1716,735,1,Germany
240,Murphy Brewery Ireland Limited,Okay,3.49, Cork,Ireland,3247,1359,1,Ireland
256,Lost Coast Brewery and Cafe,Good,3.61, Eureka,CA,6959,2952,2,USA - CA
252,Bayerische Staatsbrauerei Weihenstephan,Very Good,3.97, Freising,Germany,25306,9124,7,Germany
257,Steel Brewing Company,Poor,2.85, Irwindale,CA,1525,716,1,USA - CA
259,Brouwerij St. Bernardus NV,Exceptional,4.14, Watou,Belgium,22416,7980,6,Belgium
261,Cisco Brewers Inc.,Very Good,3.76, Nantucket,MA,6851,2297,1,USA - MA
262,Shmaltz Brewing Company,Good,3.68, Clifton Park,NY,6560,2144,2,USA - NY
267,Odell Brewing Company,Very Good,3.88, Fort Collins,CO,21140,5607,5,USA - CO
273,SweetWater Brewing Company,Very Good,3.82, Atlanta,GA,17511,4356,5,USA - GA
281,Tsingtao Brewery Co.,Poor,2.78, Ltd.,Qingdao,2070,723,1,China
284,Sapporo Breweries Ltd.,Okay,3.1, Tokyo-to Tokyo-shi,Japan,4088,1347,1,Japan
283,Brouwerij Liefmans,Very Good,3.77, Oudenaarde,Belgium,2948,1226,1,Belgium
