uid,uid_count
205702,1243
472192,1237
389332,1231
393387,1206
265507,1186
408506,1181
572853,1174
14442,1142
212193,1111
439438,1106
95017,1098
601042,1092
508168,1091
456300,1091
184925,1080
571365,1079
779746,1076
6284,1073
3853,1059
37950,1057
102045,1006
63854,1002
725975,1002
674144,1000
770495,999
694861,985
775,971
204323,968
288024,957
569020,956
489997,955
19986,954
243272,953
177736,952
41957,947
492136,947
671818,947
5743,934
213734,932
524792,930
600630,929
519325,922
442890,921
761842,920
68596,920
663388,917
719621,913
657368,912
53566,909
29786,908
87185,908
54087,907
23172,905
446332,903
95531,895
968112,889
104485,889
674078,885
99624,882
4791,880
18665,876
767305,872
371504,871
2335,868
401018,863
425637,861
414386,860
1073239,858
792013,858
532838,854
366955,853
657810,853
451922,851
144305,846
199175,845
114393,842
256,842
163147,841
8942,840
515789,838
131231,836
526,831
109040,830
266309,829
200890,828
47795,827
281621,827
637112,825
4099,825
621618,824
655110,822
478775,821
3819,821
378545,821
662121,820
224763,819
168653,819
420668,818
322390,815
426113,814
721957,814
671195,811
711311,810
233327,803
170415,802
715929,802
591332,801
704369,799
738632,797
702797,792
628182,791
802816,790
412941,790
126309,789
144365,789
690971,787
26127,786
731672,785
209764,785
707905,784
685992,784
748650,781
584801,781
451108,780
93332,778
692351,775
1022,772
176419,770
533177,770
788384,770
4440,769
181122,769
312660,768
733123,768
153242,766
8568,766
196520,765
167099,764
659902,764
656306,762
191932,760
414126,758
431655,758
304205,757
457878,757
799427,757
4062,756
546654,752
300923,751
750886,750
4151,749
19578,747
180837,745
519994,745
186652,744
598312,744
145116,744
673099,743
708,741
726249,740
765198,740
60686,738
688854,738
434646,738
372970,737
714311,737
3,736
164758,735
222552,734
404098,734
17949,732
329163,732
256573,731
397246,728
484016,728
125029,726
413924,726
539880,725
417825,725
113426,724
737070,723
489156,722
355414,722
624076,721
2159,721
654941,721
560899,721
648428,719
330550,718
545285,718
290821,717
161331,717
445751,717
747587,717
5708,714
528452,713
654191,713
333746,712
1202198,711
691982,710
421067,709
231677,709
215811,708
