,beer_karma,beer_marked,join_date,location,sex,user_id,user_name
0,"1,715","9,530","Mar 23, 2008",Illinois,Male,205702,spycow
1,"1,825","9,909","Jun 22, 2010",Texas,Male,472192,kjkinsey
2,"1,958","9,185","Nov 4, 2009",New Jersey,Male,389332,djrn2
3,0,"5,903","Nov 15, 2009",California,Male,393387,zestar
4,"3,830","11,652","Nov 12, 2008",Kansas,Male,265507,jaydoc
5,"6,529","9,170","Dec 25, 2009",Pennsylvania,Male,408506,knapp85
6,"2,418","11,110","Feb 26, 2011",Texas,Male,572853,texasfan549
7,"9,166","7,308","Feb 9, 2005",Kentucky,Male,14442,beerchitect
8,"2,264","7,953","Apr 16, 2008",Maryland,Male,212193,oriolesfan4
9,"12,446","10,865","Mar 18, 2010",California,Male,439438,uclabrewn84
10,"9,336","7,774","Aug 29, 2006",New York,Male,95017,metter98
11,"12,928","10,751","May 28, 2011",Colorado,Male,601042,stonedtrippin
12,"14,168","6,706","May 5, 2010",Michigan,Male,456300,superspak
13,"5,096","11,888","Feb 23, 2011",Illinois,Male,571365,kylehay2004
14,"1,559","5,724","Feb 2, 2014",New York,Male,779746,paulish
15,"8,499","6,723","May 13, 2004",North Carolina,Male,6284,brentk56
16,"6,711","5,609","Sep 3, 2005",Rhode Island,Male,37950,themaniacalone
17,"3,148","6,991","Apr 26, 2012",Connecticut,Male,674144,williethreebiers
18,"1,166","5,088","Dec 18, 2013",Virginia,Male,770495,atrocity
19,"1,157","4,297","Sep 18, 2012",Georgia,Male,694861,thatoneguymike
20,"4,758","4,248","Sep 24, 2002",West Virginia,Male,775,wvbeergeek
21,"6,478","4,164","Mar 18, 2008",Maryland,Male,204323,imbibehour
22,"3,670","9,995","Jan 15, 2009",California,Male,288024,grg1313
23,"1,212","4,178","Feb 18, 2011",Pennsylvania,Male,569020,rolltide8425
24,"2,851","4,416","Aug 10, 2010",Pennsylvania,Male,489997,tdm168
25,"8,383","5,048","May 24, 2005",Arkansas,Male,19986,russpowell
26,"5,394","5,372","Aug 18, 2008",Illinois,Male,243272,thorpe429
27,866,"3,449","Sep 30, 2005",New Hampshire,Male,41957,rochefort10nh
28,930,"4,174","Apr 9, 2012",Illinois,Male,671818,smartassboiler
29,"1,160","4,136","Apr 12, 2004",Pennsylvania,Male,5743,ejimhof
30,"2,704","5,395","Apr 22, 2008",Virginia,Male,213734,billab914
31,"1,442","4,913","Nov 12, 2010",Minnesota,Male,524792,xmnwildx12
32,782,"2,969","May 25, 2011",Ohio,Ohio,600630,pathman
33,"2,725","5,760","Oct 28, 2010",New York,Male,519325,vfgccp
34,"2,589","4,703","Mar 28, 2010",Washington,Male,442890,mdaschaf
35,"1,420","5,670","Nov 1, 2013",New York,Male,761842,gkruszewski
36,"3,520","5,615","Mar 7, 2006",Florida,Florida,68596,nickfl
37,"1,433","6,300","Mar 7, 2012",California,Male,663388,socalkicks
